track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_name,playlist_id,album_type,album_id,artist_id,explicit,track_popularity,market_id,num_avail_markets,num_artists,playlist_rank,artist_name,followers,artist_popularity,PC1,PC2,PC3,PC4,PC5,PC6,Cluster
7r8FHPasw67Nl4Hqyd4685,0.638,0.716,6.0,-7.287,0.0,0.06960000000000001,0.16,0.0,0.366,0.833,150.124,157600.0,4.0,Superstars (mageplask),37i9dQZEVXbLWYFZ5CkSvr,single,5WJLZ54uK7ni636O65EztT,1Kj6Km5IuLGKt2cxuhSgLm,True,64,norway,184,1,23,Golfklubb,6208,55,-1.0718985497996687,-0.6267736051048115,1.0730235590744495,-1.1086749273361554,0.5851085292628214,-0.24315612397743094,0
0wnkw8ZMMvc9K98H6TWu1q,0.77,0.677,1.0,-6.6129999999999995,1.0,0.0392,0.0162,5.39e-06,0.10200000000000001,0.544,130.086,167077.0,4.0,Ha det fett (Daytona),37i9dQZEVXbLWYFZ5CkSvr,single,1KJARRbH5CiMyzMO6ar7qe,1Kj6Km5IuLGKt2cxuhSgLm,False,62,norway,184,1,30,Golfklubb,6208,55,3.0572852794705216,-1.317200331578163,-0.1863387110944902,-0.2855351486959901,-1.156741095564632,0.4565675831401927,2
2RLdkXSaiQjRbey5pvP8Kt,0.401,0.394,1.0,-6.655,1.0,0.0324,0.748,0.0,0.0993,0.327,129.74,274387.0,4.0,If We Ever Meet Again,37i9dQZEVXbJZGli0rRP3r,album,5ITErfEiF1nEo8KTRgLv43,75MOYjGEyyH5U4ZFHOPvxR,False,59,south_korea,184,1,33,Lim Young Woong,63417,60,-0.6376695018094665,0.7069687291843514,-1.2749150785757373,-0.47107360253681785,0.16966172712936517,-0.6310525957761425,0
6auT8cRBu3BgPRBrdVBY15,0.52,0.875,2.0,-1.589,1.0,0.0346,0.395,0.0,0.515,0.657,133.096,244427.0,4.0,London Boy,37i9dQZEVXbJZGli0rRP3r,single,0dIwHWpQXBKVOuP9CJsY4E,75MOYjGEyyH5U4ZFHOPvxR,False,66,south_korea,184,1,23,Lim Young Woong,63417,60,-0.6376695018094665,0.7069687291843514,-1.2749150785757373,-0.47107360253681785,0.16966172712936517,-0.6310525957761425,0
2jidjmWNeRmKgLjXhW52Gz,0.381,0.405,1.0,-7.325,1.0,0.0325,0.629,0.0,0.418,0.273,130.94,207387.0,4.0,"Our Blues, Our Life",37i9dQZEVXbJZGli0rRP3r,album,5ITErfEiF1nEo8KTRgLv43,75MOYjGEyyH5U4ZFHOPvxR,False,58,south_korea,184,1,46,Lim Young Woong,63417,60,2.9040126309781438,-0.21678681772875022,-1.741806646877272,0.17789527646742853,0.13309626043532258,0.5453535959263973,2
2tA3NP12r4niSRhb9Y6AoY,0.7030000000000001,0.768,0.0,-3.357,1.0,0.028900000000000002,0.532,0.0,0.117,0.534,102.966,206400.0,4.0,Polaroid,37i9dQZEVXbJZGli0rRP3r,single,0dIwHWpQXBKVOuP9CJsY4E,75MOYjGEyyH5U4ZFHOPvxR,False,64,south_korea,184,1,26,Lim Young Woong,63417,60,-1.0126440422776164,-1.209049743321435,0.8025316230583572,0.20559215486604365,-1.142616872471377,0.0506297717474762,0
4WUpMUjdoi47LY7gBQBXe3,0.515,0.34600000000000003,4.0,-8.908,1.0,0.0342,0.776,2.65e-05,0.11900000000000001,0.107,130.043,219883.0,4.0,Grain of Sand,37i9dQZEVXbJZGli0rRP3r,single,1Sf3c8MEe4cXaxZzOKgnhc,75MOYjGEyyH5U4ZFHOPvxR,False,67,south_korea,184,1,22,Lim Young Woong,63417,60,2.8189983268134524,0.43236161582394644,0.32125844197526043,-0.6932306286324698,-0.7031924437181526,-0.9252230324997494,2
50xSycnGMDy0Wg5jJcOv3S,0.641,0.889,8.0,-3.534,1.0,0.0541,0.039400000000000004,0.0,0.181,0.616,96.033,196400.0,4.0,Rainbow,37i9dQZEVXbJZGli0rRP3r,album,5ITErfEiF1nEo8KTRgLv43,75MOYjGEyyH5U4ZFHOPvxR,False,58,south_korea,184,1,40,Lim Young Woong,63417,60,2.2418302051302095,-0.14445888689040945,-0.009604136178819112,-1.5888457572047288,3.0729436844412743,1.0249488718188713,2
4Cr43xPo7bwyCcL1g3yVCu,0.606,0.729,0.0,-4.555,1.0,0.0804,0.268,0.0,0.271,0.527,73.967,256373.0,4.0,A bientot,37i9dQZEVXbJZGli0rRP3r,album,5ITErfEiF1nEo8KTRgLv43,75MOYjGEyyH5U4ZFHOPvxR,False,57,south_korea,184,1,50,Lim Young Woong,63417,60,2.2418302051302095,-0.14445888689040945,-0.009604136178819112,-1.5888457572047288,3.0729436844412743,1.0249488718188713,2
1LiN0Z98FkR1t0m8KmLcAH,0.79,0.631,8.0,-5.549,0.0,0.0425,0.437,0.0,0.158,0.889,94.039,190005.0,4.0,Amanece,37i9dQZEVXbMPoK06pe7d6,single,464FQ8gr0oKlQ1a0TCK4Yj,2R21vXR83lH98kGeO99Y66,False,83,dominican_republic,180,2,43,Anuel AA,32565139,86,0.5842486083637065,4.491392537138993,0.3085811811002077,-0.05186748801277466,1.5746530367035076,1.2517833081493204,1
1LiN0Z98FkR1t0m8KmLcAH,0.79,0.631,8.0,-5.549,0.0,0.0425,0.437,0.0,0.158,0.889,94.039,190005.0,4.0,Amanece,37i9dQZEVXbMGcjiWgg253,single,464FQ8gr0oKlQ1a0TCK4Yj,2R21vXR83lH98kGeO99Y66,False,83,peru,180,2,41,Anuel AA,32565139,86,-1.0483481661946636,-0.5155539804522231,-1.0441446337363405,-0.09721184804924984,0.6215412934718223,-0.030126012215615876,0
