sub_genre,parent_genre
 pop ,Pop
 dance pop ,Pop
 pov: indie ,Pop
 singer-songwriter pop ,Pop
 mexican pop ,Pop
 j-pop ,Pop
 latin arena pop ,Pop
 indie pop ,Pop
 modern country pop ,Pop
 art pop ,Pop
 alt z ,Pop
 new wave pop ,Pop
 indietronica ,Pop
 italian adult pop ,Pop
 spanish pop ,Pop
 electropop ,Pop
 turkish pop ,Pop
 hip pop ,Pop
 reggae fusion ,Pop
 post-teen pop ,Pop
 ccm ,Pop
 indonesian pop ,Pop
 pop nacional ,Pop
 italian pop ,Pop
 k-pop ,Pop
 chamber pop ,Pop
 uk pop ,Pop
 desi pop ,Pop
 girl group ,Pop
 colombian pop ,Pop
 french pop ,Pop
 europop ,Pop
 punjabi pop ,Pop
 boy band ,Pop
 synthpop ,Pop
 japanese teen pop ,Pop
 dream pop ,Pop
 funk bh ,Pop
 folk-pop ,Pop
 german pop ,Pop
 puerto rican pop ,Pop
 viral pop ,Pop
 mandopop ,Pop
 eurodance ,Pop
 christian music ,Pop
 worship ,Pop
 afropop ,Pop
 russian pop ,Pop
 sped up ,Pop
 swedish pop ,Pop
 bedroom pop ,Pop
 opm ,Pop
 japanese singer-songwriter ,Pop
 modern indie pop ,Pop
 funk rj ,Pop
 noise pop ,Pop
 nigerian pop ,Pop
 nyc pop ,Pop
 tamil pop ,Pop
 turkish alt pop ,Pop
 modern alternative pop ,Pop
 thai pop ,Pop
 sophisti-pop ,Pop
 la pop ,Pop
 danish pop ,Pop
 classic j-pop ,Pop
 britpop ,Pop
 dutch pop ,Pop
 dark pop ,Pop
 trip hop ,Pop
 c-pop ,Pop
 anime ,Pop
 polish viral pop ,Pop
 canadian pop ,Pop
 gym phonk ,Pop
 norwegian pop ,Pop
 adoracao ,Pop
 dutch rap pop ,Pop
 j-pixie ,Pop
 weirdcore ,Pop
 acoustic pop ,Pop
 hyperpop ,Pop
 israeli pop ,Pop
 classic swedish pop ,Pop
 classic country pop ,Pop
 egyptian pop ,Pop
 meme ,Pop
 mollywood ,Pop
 scandipop ,Pop
 bubblegum pop ,Pop
 australian pop ,Pop
 russian alt pop ,Pop
 polish pop ,Pop
 v-pop ,Pop
 lo-fi chill ,Pop
 sertanejo pop ,Pop
 acoustic cover ,Pop
 turkish singer-songwriter ,Pop
 swedish trap pop ,Pop
 finnish pop ,Pop
 cantopop ,Pop
 classic italian pop ,Pop
 j-acoustic ,Pop
 chill pop ,Pop
 arabesk ,Pop
 indonesian folk pop ,Pop
 czech pop ,Pop
 rap napoletano ,Pop
 rap marseille ,Pop
 korean pop ,Pop
 classic arab pop ,Pop
 greek pop ,Pop
 okinawan pop ,Pop
 neon pop punk ,Pop
 pixel ,Pop
 uk alternative pop ,Pop
 japanese viral pop ,Pop
 indie poptimism ,Pop
 variete francaise ,Pop
 gujarati pop ,Pop
 anime score ,Pop
 schlager ,Pop
 glitchcore ,Pop
 classic schlager ,Pop
 chill breakcore ,Pop
 mizrahi ,Pop
 swedish electropop ,Pop
 rave funk ,Pop
 jazz pop ,Pop
 christian pop ,Pop
 russian drain ,Pop
 romanian pop ,Pop
 p-pop ,Pop
 haryanvi pop ,Pop
 classic uk pop ,Pop
 belgian pop ,Pop
 acoustic chill ,Pop
 shaabi ,Pop
